Date,Forest,PlotNum,PlotID,Quadrant,Circle,Xcoord,Ycoord,Type,Tree,Seedling,TSID,Species,DBH,Height,Comments
25-Oct-17,Peavine Swamp,3,9,Q1,,9,1,Tree,209,,T209,Sugar maple,20.1,12.5,
25-Oct-17,Peavine Swamp,3,9,Q2,,4,1,Tree,210,,T210,Sugar maple,10.5,10.5,
25-Oct-17,Peavine Swamp,3,9,Q2,,4,5,Tree,211,,T211,Sugar maple,21.9,15,
25-Oct-17,Peavine Swamp,3,9,Q2,,7,7,Tree,213,,T213,Sugar maple,16.6,12,
25-Oct-17,Peavine Swamp,3,9,Q4,,,,Tree,216,,T216,Sugar maple,75.3,,
25-Oct-17,Peavine Swamp,3,9,Q3,,,,Tree,224,,T224,Sugar maple,27,,
25-Oct-17,Peavine Swamp,3,9,Q3,,,,Tree,225,,T225,Sugar maple,14,,
25-Oct-17,Peavine Swamp,3,9,Q3,,,,Tree,227,,T227,Sugar maple,10.9,,
25-Oct-17,Peavine Swamp,3,9,Q2,,5,6,Tree,212,,T212,Sugar maple,41,9.5,DEAD
18-Oct-17,Peavine Swamp,2,8,Q3,,,,Tree,191,,T191,Yellow birch,44.3,,DEAD
4-Oct-17,South Hammond,1,4,Q1,,5,10,Tree,87,,T87,Black cherry,15.5,11,
11-Oct-17,South Hammond,3,6,Q1,,3,9,Tree,117,,T117,Catscratch,10.5,8.5,
4-Oct-17,South Hammond,1,4,Q2,,2.3,3,Tree,134,,T134,Catscratch,14.3,8,
4-Oct-17,South Hammond,1,4,Q2,,4.5,0.5,Tree,135,,T135,Catscratch,12.3,9.1,
11-Oct-17,South Hammond,3,6,Q4,,,,Tree,133,,T133,Choke cherry,21.4,,
4-Oct-17,South Hammond,1,4,Q2,,6,2.5,Tree,137,,T137,Choke cherry,8,6,
4-Oct-17,South Hammond,1,4,Q3,,,,Tree,141,,T141,Choke cherry,10.1,,
4-Oct-17,South Hammond,1,4,Q4,,,,Tree,154,,T154,Choke cherry,16,,
4-Oct-17,South Hammond,1,4,,,,,Tree,156,,T156,Choke cherry,15.5,,DEAD
4-Oct-17,South Hammond,2,5,Q1,,1,9,Tree,99,,T99,Quaking aspen,34.2,8.1,
4-Oct-17,South Hammond,2,5,Q1,,4,4,Tree,96,,T96,Red maple,10,9,
4-Oct-17,South Hammond,2,5,Q1,,4,9.6,Tree,98,,T98,Red maple,13.3,8,
4-Oct-17,South Hammond,2,5,Q1,,8,10,Tree,100,,T100,Red maple,31.9,8.5,
4-Oct-17,South Hammond,2,5,Q3,,,,Tree,106,,T106,Red maple,43.5,,
4-Oct-17,South Hammond,1,4,Q1,,,,Tree,86,,T86,Red oak,<10,4,
4-Oct-17,South Hammond,1,4,Q1,,6.5,5,Tree,89,,T89,Red oak,30.5,,
4-Oct-17,South Hammond,2,5,Q2,,5.3,4,Tree,102,,T102,Red oak,27.1,11,
4-Oct-17,South Hammond,2,5,Q2,,3.6,3.5,Tree,103,,T103,Red oak,11.5,6,
4-Oct-17,South Hammond,2,5,Q2,,7,5,Tree,104,,T104,Red oak,10.9,5,
4-Oct-17,South Hammond,2,5,Q2,,8.5,4.9,Tree,105,,T105,Red oak,20,9,
4-Oct-17,South Hammond,2,5,Q3,,,,Tree,107,,T107,Red oak,20,,
4-Oct-17,South Hammond,2,5,Q3,,,,Tree,108,,T108,Red oak,13.4,,
4-Oct-17,South Hammond,2,5,Q3,,,,Tree,109,,T109,Red oak,13.8,,
4-Oct-17,South Hammond,2,5,Q4,,,,Tree,111,,T111,Red oak,17.5,,
4-Oct-17,South Hammond,2,5,Q4,,,,Tree,112,,T112,Red oak,10.8,,
4-Oct-17,South Hammond,2,5,Q4,,,,Tree,113,,T113,Red oak,11.5,,
4-Oct-17,South Hammond,2,5,Q4,,,,Tree,114,,T114,Red oak,15.2,,
11-Oct-17,South Hammond,3,6,Q2,,0.5,5,Tree,118,,T118,Red oak,36.5,20,
11-Oct-17,South Hammond,3,6,Q2,,4,4,Tree,119,,T119,Red oak,19.8,20,
11-Oct-17,South Hammond,3,6,Q2,,7,5,Tree,121,,T121,Red oak,16.2,18,
11-Oct-17,South Hammond,3,6,Q3,,,,Tree,124,,T124,Red oak,16.3,,
11-Oct-17,South Hammond,3,6,Q3,,,,Tree,125,,T125,Red oak,12.5,,
11-Oct-17,South Hammond,3,6,Q3,,,,Tree,126,,T126,Red oak,11,,
11-Oct-17,South Hammond,3,6,Q3,,,,Tree,128,,T128,Red oak,33.7,,
11-Oct-17,South Hammond,3,6,Q3,,,,Tree,129,,T129,Red oak,37.1,,
11-Oct-17,South Hammond,3,6,Q4,,,,Tree,132,,T132,Red oak,38.6,,
4-Oct-17,South Hammond,1,4,Q4,,,,Tree,147,,T147,Red oak,25.4,,
4-Oct-17,South Hammond,1,4,Q4,,,,Tree,150,,T150,Red oak,10,,
4-Oct-17,South Hammond,1,4,Q4,,,,Tree,153,,T153,Red oak,27.3,,
11-Oct-17,South Hammond,3,6,Q3,,,,Tree,123,,T123,Red pine,20.2,,
11-Oct-17,South Hammond,3,6,Q3,,,,Tree,127,,T127,Red pine,10.5,,
4-Oct-17,South Hammond,1,4,Q1,,,,Tree,85,,T85,Shagbark hickory,<10,4,
4-Oct-17,South Hammond,1,4,Q1,,,,Tree,88,,T88,Shagbark hickory,<10,4,
4-Oct-17,South Hammond,1,4,Q3,,,,Tree,145,,T145,Shagbark hickory,12.5,,
4-Oct-17,South Hammond,2,5,Q2,,1.5,1,Tree,101,,T101,White ash,13.3,12,
11-Oct-17,South Hammond,3,6,Q3,,,,Tree,122,,T122,White ash,23.9,,
4-Oct-17,South Hammond,1,4,,,,,Tree,157,,T157,White ash,15.7,,DEAD
4-Oct-17,South Hammond,1,4,Q1,,0,2,Tree,81,,T81,White oak,22,14.4,
4-Oct-17,South Hammond,1,4,Q1,,2,3,Tree,83,,T83,White oak,11,8,
4-Oct-17,South Hammond,1,4,Q1,,5.3,2,Tree,92,,T92,White oak,11,11,
4-Oct-17,South Hammond,2,5,Q3,,,,Tree,110,,T110,White oak,16.5,,
11-Oct-17,South Hammond,3,6,Q1,,3.8,3,Tree,115,,T115,White oak,14,15,
11-Oct-17,South Hammond,3,6,Q2,,6,1,Tree,120,,T120,White oak,13.5,17,
4-Oct-17,South Hammond,1,4,Q2,,5,5,Tree,138,,T138,White oak,47.2,13,
4-Oct-17,South Hammond,1,4,Q2,,8,7.2,Tree,139,,T139,White oak,34.3,11,
4-Oct-17,South Hammond,1,4,Q3,,,,Tree,142,,T142,White oak,17.7,,
4-Oct-17,South Hammond,1,4,Q3,,,,Tree,144,,T144,White oak,40.6,,
4-Oct-17,South Hammond,1,4,Q3,,,,Tree,146,,T146,White oak,17.3,,
4-Oct-17,South Hammond,1,4,Q4,,,,Tree,151,,T151,White oak,22.8,,
4-Oct-17,South Hammond,1,4,Q1,,,,Tree,82,,T82,White pine,< 10,4,
4-Oct-17,South Hammond,1,4,Q1,,2.6,4.8,Tree,84,,T84,White pine,30,15.6,
4-Oct-17,South Hammond,1,4,Q1,,4,4,Tree,90,,T90,White pine,<10,6,
